Term_Category,Main_Term,Synonym_1,Synonym_2,Synonym_3,Synonym_4,Search_Context_Keywords,Notes
Prefetcher Type,Feedback-Directed Prefetcher,Adaptive Prefetcher,Dynamic Prefetcher,Learning-based Prefetcher,,"runtime behavior, history-based"
Prefetcher Metric,Prefetch Accuracy,Prefetch Precision,Prefetch Usefulness,Effective Prefetches,"Correctness, True Positive Rate for prefetches"
Prefetcher Metric,Prefetch Coverage,Prefetch Recall,Demand Miss Reduction,,"Recall, Timeliness, late prefetch, early prefetch"
Prefetcher Metric,Cache Pollution,Prefetch Pollution,Useless Prefetches,Bandwidth Wasting,"Negative impact, thrashing, harmful prefetch"
Optimization Technique,Optimization,Performance,Efficiency,Enhancement,Tuning,"improvement, speedup, reduction, acceleration, boosting"
Optimization Technique,Layout Optimization,Data Layout,Node Layout,Memory Layout,Structure Reordering,"field reordering, data placement, object layout"
Optimization Technique,Cache-aware,Cache-conscious,Cache-friendly,Cache-optimized,Cache-centric,"cache line alignment, padding, cache blocking, tiling"
Optimization Technique,Prefetcher-aware,Prefetcher-friendly,Prefetcher-conscious,Prefetcher-centric,"prefetcher interaction, prefetcher hints, prefetcher exploitation"
Optimization Technique,Software Prefetching,SW Prefetch,Manual Prefetch,_mm_prefetch,Compiler-inserted Prefetch,"explicit prefetch, compiler hints, intrinsic functions"
Optimization Technique,Prefetcher Control,Disable Prefetcher,Tune Prefetcher,Adjust Prefetcher,Configure Prefetcher,"throttling prefetcher, MSR control, prefetcher enabling/disabling"
Optimization Technique,Memory Allocation,Dynamic Allocation,Heap Management,Memory Management,"malloc, new, custom allocator, memory pool, object allocation, page allocation"
Optimization Technique,NUMA-aware Allocation,NUMA Optimization,Memory Placement,NUMA-aware Data Placement,"interleaving, local allocation, first-touch policy, page migration"
Optimization Technique,Data Structure Transformation,Restructuring,Reorganization,Data Structure Redesign,,"e.g., unrolling, skip list levels, B-tree like structures for lists"
Optimization Technique,Co-design,Hardware-Software Co-design,HW-SW Co-design,Synergistic Design,,"joint optimization, architectural support for software"
Methodology,Simulation,Modeling,Trace-driven Simulation,Execution-driven Simulation,Performance Modeling,
Methodology,Simulator,Performance Simulator,Architectural Simulator,Cycle-accurate Simulator,Cycle-level Simulator,
Methodology,gem5,,"configurable architectural simulator",,
Methodology,ZSim,,"x86-64 architectural simulator, Pin-based",,
Methodology,Sniper,,"parallel multi-core simulator, interval simulation",,
Methodology,Intel SDE,Intel Software Development Emulator,Intel Emulator,,"functional correctness, performance estimation, architectural exploration tool"
Methodology,Experiment,Measurement,Empirical Study,Evaluation,Empirical Evaluation,"experimental setup, testbed, real hardware"
Methodology,Workload,Benchmark,Test Case,Application,Representative Application,"SPEC CPU, Graph500, GAP Benchmark Suite, database workloads (TPC, YCSB), microbenchmarks, synthetic workloads"
Methodology,Metric,Performance Metric,Evaluation Metric,Key Performance Indicator (KPI),Figure of Merit,
Performance Metric,Latency,Response Time,Delay,Access Time,Execution Time,
Performance Metric,Throughput,Bandwidth,Rate,Operations Per Second,
Performance Metric,IPC,Instructions Per Cycle,Instruction Per Clock,Instructions Retired,
Performance Metric,Cache Miss Rate,Miss Ratio,CMR,Misses Per Kilo Instruction (MPKI),
Performance Metric,Prefetcher Efficiency,Prefetcher Performance,Prefetcher Effectiveness,Prefetch Quality,
General Term,Memory Access,Memory Reference,Load Operation,Store Operation,Memory Operation,
General Term,Pointer Chasing,Pointer Dereferencing,Recursive Traversal,Indirect Addressing,Memory Indirection,
General Term,Data Locality,Locality of Reference,Temporal Locality,Spatial Locality,Reference Affinity,
General Term,Scalability,Performance Scaling,Scalable Performance,,"strong scaling, weak scaling"
General Term,Interaction,Interplay,Interference,Synergy,Cross-layer Interaction,
Research Aspect,Limitation,Drawback,Shortcoming,Constraint,Bottleneck,"threats to validity"
Research Aspect,Gap,Research Gap,Unsolved Problem,Open Issue,Knowledge Gap,"unexplored area"
Research Aspect,Future Work,Future Research,Open Direction,Research Agenda,Future Directions,
Technology,CXL,Compute Express Link,CXL.io,CXL.mem,CXL.cache,"memory expansion, coherent interface, disaggregated memory"
Technology,DDR5,Double Data Rate 5,SDRAM,Synchronous Dynamic Random-Access Memory,,"main memory technology, high-bandwidth memory"
Technology,DDR6,Double Data Rate 6,SDRAM,,"future main memory, next-generation DRAM"
